open_time,open,high,low,close,volume,close_time,quote,no_trades,base_buy,quote_buy,ignore,date
1.59866E+12,11526.9,11580.02,11417.04,11465.84,32973.7992,1.59875E+12,379228275.3,611834,15709.30999,180675288.4,0,8/29/2020 5:30
1.59875E+12,11465.84,11719,11458,11711.16,43177.87905,1.59883E+12,501375342.9,756541,22258.1159,258461346.5,0,8/30/2020 5:30
1.59883E+12,11711.17,11800.77,11570,11649.51,55353.61774,1.59892E+12,646723855.6,822062,26579.94028,310534861.6,0,8/31/2020 5:30
1.59892E+12,11649.51,12050.85,11515,11921.97,78148.19367,1.599E+12,928047313.5,1321492,37476.01938,444996773.7,0,9/1/2020 5:30
1.599E+12,11921.97,11954.57,11160.1,11388.54,87221.8456,1.59909E+12,1005391012,1373524,39972.30989,460939443.2,0,9/2/2020 5:30
1.59909E+12,11388.54,11462.6,9960.8,10140.85,121950.106,1.59918E+12,1325106403,1611610,54266.83286,590230451.1,0,9/3/2020 5:30
1.59918E+12,10138.29,10627.05,9875.5,10446.25,92733.59911,1.59926E+12,959925718.4,1434860,42707.83467,442163704.2,0,9/4/2020 5:30
1.59926E+12,10446.25,10565.68,9825,10166.69,90001.60557,1.59935E+12,917578408.9,1476782,43478.13232,443342852.2,0,9/5/2020 5:30
1.59935E+12,10166.69,10347.14,9994.86,10256.2,56368.78882,1.59944E+12,574903000.2,1053192,28033.43883,285904912.8,0,9/6/2020 5:30
1.59944E+12,10255.89,10410.75,9875,10373.44,62620.23068,1.59952E+12,634278537.8,927363,30576.70067,309796338.5,0,9/7/2020 5:30
1.59952E+12,10373.45,10438,9850,10126.65,73491.87842,1.59961E+12,742947902,1048125,34410.81447,348048428.9,0,9/8/2020 5:30
1.59961E+12,10126.66,10343,9981.01,10219.2,49347.11378,1.5997E+12,503082625.2,755560,23815.41243,242759702.9,0,9/9/2020 5:30
1.5997E+12,10219.29,10483.35,10070.83,10336.87,58253.75375,1.59978E+12,602390078.5,851877,27690.1125,286362452.8,0,9/10/2020 5:30
1.59978E+12,10336.86,10397.6,10200,10387.89,43830.25447,1.59987E+12,451241002.7,637869,21231.61073,218592078,0,9/11/2020 5:30
1.59987E+12,10387.89,10477.97,10269.25,10440.92,35379.1531,1.59996E+12,366912671.4,577724,17560.76889,182148657.5,0,9/12/2020 5:30
1.59996E+12,10440.67,10580.11,10200,10332.83,43837.60987,1.60004E+12,455338605.3,692439,20785.51733,215965189.3,0,9/13/2020 5:30
1.60004E+12,10332.84,10750,10212.34,10671.77,67059.29136,1.60013E+12,706175591.4,828957,31880.36316,335719021,0,9/14/2020 5:30
1.60013E+12,10671.77,10930.04,10606.48,10785.31,61822.45279,1.60021E+12,666457161.1,893852,29744.08728,320640236.4,0,9/15/2020 5:30
1.60021E+12,10785.23,11093,10661.22,10954.01,64991.51244,1.6003E+12,708644989.5,884153,31740.51169,346117690.6,0,9/16/2020 5:30
1.6003E+12,10954.01,11045.46,10745.83,10939.99,55601.61453,1.60039E+12,605010288.8,829137,27029.92704,294147097.6,0,9/17/2020 5:30
1.60039E+12,10940,11038.03,10812.84,10933.39,47266.72828,1.60047E+12,516147935.7,717371,23044.91989,251654627.2,0,9/18/2020 5:30
1.60047E+12,10933.4,11179.79,10887.37,11080.65,38440.03686,1.60056E+12,423651901.2,620127,19923.05927,219623766.3,0,9/19/2020 5:30
1.60056E+12,11080.64,11080.64,10723,10920.28,39157.92257,1.60065E+12,426815210.8,646329,19437.69436,211845335.5,0,9/20/2020 5:30
1.60065E+12,10920.28,10988.86,10296.35,10417.22,70683.43118,1.60073E+12,751020795.2,1028531,33628.93059,357346575.2,0,9/21/2020 5:30
1.60073E+12,10417.22,10572.71,10353,10529.61,43991.23548,1.60082E+12,460362500.7,738576,21497.46159,224981251.3,0,9/22/2020 5:30
1.60082E+12,10529.61,10537.15,10136.82,10241.46,51876.56808,1.60091E+12,539362015.2,774391,25012.70682,260045385.7,0,9/23/2020 5:30
1.60091E+12,10241.46,10795.24,10190.93,10736.32,57676.61943,1.60099E+12,604520870.1,789282,27946.80433,292936073,0,9/24/2020 5:30
1.60099E+12,10736.33,10760.53,10556.24,10686.67,48101.11701,1.60108E+12,512647249.1,733430,23566.33034,251168863.9,0,9/25/2020 5:30
1.60108E+12,10686.57,10820.94,10644.68,10728.6,28420.83666,1.60116E+12,304511477.7,502670,14314.53135,153391173.5,0,9/26/2020 5:30
1.60116E+12,10728.59,10799,10594.82,10774.25,30549.48325,1.60125E+12,327169249.5,516004,15101.03977,161737536.9,0,9/27/2020 5:30
